week,weighted_response_rate,sample_size
April 23-May 5,3.80%,"69,316.00"
May 7-12,1.30%,"39,447.00"
May 14-19,2.30%,"118,897.00"
May 21-26,3.10%,"90,798.00"
May 28-June 2,3.50%,"94,329.00"
June 4-9,3.10%,"75,292.00"
June 11-16,2.30%,"68,322.00"
June 18-23,2.90%,99.92
June 25-30,3.30%,"91,272.00"
July 2-7,3.20%,"83,960.00"
July 9-14,3.10%,"84,492.00"
July 16-21,2.90%,"79,776.00"
August 19-31,10.30%,"93,136.00"
September 2-14,10.30%,"94,739.00"
September 16-28,9.20%,"85,555.00"
September 30-October 12,8.80%,"82,192.00"
October 14-26,8.10%,"76,034.00"
October 28-November 9,5.30%,"49,931.00"
November 11-23,6.60%,"61,254.00"
November 25-December 7,6.70%,"62,234.00"
December 9-21,6.50%,"60,063.00"
January 6-18,6.40%,"57,042.00"
January 20-February 1,7.50%,"68,453.00"
February 3-15,7.30%,"65,163.00"
February 17-March 1,7.30%,"65,691.00"